Title,Singer,Youtube,PianoSheet,Number,View,Download
如果雨之后,周兴哲 Eric,https://youtu.be/4m4N26MZkLA,https://bit.ly/2WdqBxo,028,Video,Piano Sheet
佛系少女,冯提莫 Timo,https://youtu.be/ZjnwM2qJt6c,https://bit.ly/2AUBJIi,050,Video,Piano Sheet
戒菸,李荣浩,https://youtu.be/AKOtEkwBkdw,http://bit.ly/2LQiL8Z,056,Video,Piano Sheet
月亮代表我的心,邓丽君,https://youtu.be/-IbOyYIT4NU,http://bit.ly/2Dok0t3,016,Video,Piano Sheet
牛奶面包,亲爱的热爱的,https://youtu.be/RoUncor_kE0,http://bit.ly/2k0GHKW,080,Video,Piano Sheet
飞鸟和蝉,任然,https://youtu.be/fDodwC0Yr6g,https://bit.ly/2S0j1Uu,097,Video,Piano Sheet
父亲,筷子兄弟,https://youtu.be/TP7mYi3WatA,https://bit.ly/3flqRlv,039,Video,Piano Sheet
Love is gone,Slander,https://youtu.be/bGwLTk-Q41Y,https://bit.ly/322fMAX,115,Video,Piano Sheet
生僻字,陈柯宇,https://youtu.be/zdASnwgKYM4,http://bit.ly/2R8QNsQ,069,Video,Piano Sheet
还爱着你 Still Loving You,钟盛忠,https://youtu.be/AZUSadj8TM4,https://bit.ly/3fm2dkJ,011,Video,Piano Sheet
想见你想见你想见你,想见你,https://youtu.be/i_X7isq4J7s,https://bit.ly/3euaaDQ,088,Video,Piano Sheet
落日与晚风,IN-K/王忻辰/苏星婕,https://youtu.be/C11vq2tvvIs,https://bit.ly/3pksK9Y,139,Video,Piano Sheet
Ring Ring Ring,Gaston 庞加斯顿 | S.H.E.,https://youtu.be/Mkar1i9wUOM,https://bit.ly/2VXdtQ1,126,Video,Piano Sheet
Stay,Justin Bieber The Kid LAROI,https://youtu.be/FTIxNNdmU6o,https://bit.ly/39ZSGig,137,Video,Piano Sheet
沙漠骆驼,展展与罗罗,https://youtu.be/sw_GCKqFZnM,http://bit.ly/2v90wln,074,Video,Piano Sheet
答案,郭采洁,https://youtu.be/bBfCLGt5j3k,http://bit.ly/2CFkBW9,061,Video,Piano Sheet
爱存在,Meteor Garden,https://youtu.be/aWrS3sOwC6s,https://bit.ly/33lWZ3S,096,Video,Piano Sheet
Jingle Bells,Christmas,https://youtu.be/pSHuqc8vwb8,http://bit.ly/2Ct4jOJ,066,Video,Piano Sheet
无人之岛,任然,https://youtu.be/FL_KYWVNHEQ,https://bit.ly/3vXXKgp,120,Video,Piano Sheet
嘉宾 The Guest,张远,https://youtu.be/RAMlKAevwkA,https://bit.ly/3cEDCZ5,121,Video,Piano Sheet
失眠的夜,宋孟君,https://youtu.be/VjC4diZeaH0,https://bit.ly/3CjmRx6,135,Video,Piano Sheet
我们,大大哒,https://youtu.be/Cd-pq5sAmUU,https://bit.ly/2Cta2qa,042,Video,Piano Sheet
Despacito 缓缓,林俊杰 JJ Lin,https://youtu.be/Av5Jt2l3bd4,https://bit.ly/2ZUB2XG,041,Video,Piano Sheet
骁,井胧 井迪,https://youtu.be/jebOIsFU--A,https://bit.ly/2WLHVgJ,133 ,Video,Piano Sheet
自娱自乐,金志文,https://youtu.be/ch6Ivtu1C6A,https://bit.ly/3CHym1u,136,Video,Piano Sheet
Digimon Survive,Digimon,https://youtu.be/AgPMZL583RY,http://bit.ly/2LShoYb,057,Video,Piano Sheet
情人 Lover,蔡徐坤 XuKun,https://youtu.be/baWSiStX1g8,https://bit.ly/31zKy4v,099,Video,Piano Sheet
学猫叫,小潘潘小峰峰,https://youtu.be/2Q6QTOt2Zfo,http://bit.ly/2Mb6o4Y,053,Video,Piano Sheet
因为遇见你,因为遇见你,https://youtu.be/uPlQPsxA1A8,https://bit.ly/2BUmZtz,037,Video,Piano Sheet
你不是真正的快乐,五月天,https://youtu.be/c07ze_PyoZk,https://bit.ly/3gO0DZi,019,Video,Piano Sheet
勇气棒嘟嘟,AstroMY,https://youtu.be/WP1mQjtRGgk,http://bit.ly/2TdRE8p,073,Video,Piano Sheet
有一種悲傷,比悲傷更悲傷的故事,https://youtu.be/fgPNIp_lMKs,http://bit.ly/2BRnHDR,067,Video,Piano Sheet
说好不哭,周杰伦 Jay Chou,https://youtu.be/LQoem259bZo,http://bit.ly/2kQ3GZF,081,Video,Piano Sheet
雪落下的声音,延禧攻略,https://youtu.be/aCe1Ry8Z3h8,http://bit.ly/2ypobQD,062,Video,Piano Sheet
往後餘生,馬良,https://youtu.be/FLRyBuhywPg,https://bit.ly/36ecaNP,101,Video,Piano Sheet
伟大的渺小,林俊杰 JJ Lin,https://youtu.be/GK8hQW7QMZ0,https://bit.ly/2C28fZv,032,Video,Piano Sheet
一百万个可能,Christine Welch,https://youtu.be/6l11N9WFLM4,http://bit.ly/2C16Sq0,070,Video,Piano Sheet
我的歌声里,曲婉婷,https://youtu.be/fffiBMMz1kk,https://bit.ly/2WdEls3,013,Video,Piano Sheet
Permission to Dance,BTS,https://youtu.be/ZrYL1qbRxrM,https://bit.ly/3zM8n7R,127,Video,Piano Sheet
Coffin Dance,Astronomia,https://youtu.be/UVg4kMEnMcE,https://bit.ly/36Efzpf,087,Video,Piano Sheet
Darkside,Alan Walker,https://youtu.be/MAPGFVWMXQs,http://bit.ly/2LL7Gnv,068,Video,Piano Sheet
畫,邓紫棋 G.E.M.,https://youtu.be/C2fXjZNeFrg,http://bit.ly/34CkYLk,082,Video,Piano Sheet
倒数, 邓紫棋 G.E.M.,https://youtu.be/sccECTHrGVw,http://bit.ly/2yXlTZ6,064,Video,Piano Sheet
活出自己 快乐Whoopee,AstroMY,https://youtu.be/R_7sHkipv-M,https://bit.ly/3iXAWY3,038,Video,Piano Sheet
少年,梦然,https://youtu.be/75zpDmiVNlU,https://bit.ly/38TVCMc,092,Video,Piano Sheet
病变,Cubi,https://youtu.be/mrDYIjeUVXM,https://bit.ly/38MK5OF,045,Video,Piano Sheet
刚好遇见你 2,李玉剛,https://youtu.be/Sdj6fHN5iwk,https://bit.ly/2Zmzh6U,017,Video,Piano Sheet
演员 Actor,薛之謙 Joker,https://youtu.be/YTL0PO3ch4c,https://bit.ly/2ZVcKwI,004,Video,Piano Sheet
Wake Me Up,AVICII,https://youtu.be/vRTPQjcVX9E,https://bit.ly/38PqzRv,047,Video,Piano Sheet
半生雪,是七叔呢,https://youtu.be/SAUEzVqtdcA,https://bit.ly/3CVqcSN,142 28 Nov,Video,Piano Sheet
芒种,音阙诗听,https://youtu.be/8V1iEmCWiLw,https://bit.ly/2UeeyPH,089,Video,Piano Sheet
进阶,林俊杰 JJ Lin,https://youtu.be/oI2-jaj-fFM,http://bit.ly/2QKzTLN,071,Video,Piano Sheet
刚刚好,薛之谦 Joker,https://youtu.be/4i401R-Gz6A,https://bit.ly/38L9PLk,022,Video,Piano Sheet
Perfect,Ed Sheeran,https://youtu.be/x5jBIx1fGzw,https://bit.ly/2ZmtLB0,026,Video,Piano Sheet
你的眼睛像星星 Your eyes are like stars ,郭正正 Old Crab,https://youtu.be/khTMciWDa2k,https://bit.ly/3fFXRah,129,Video,Piano Sheet
你的答案,阿冗,https://youtu.be/OqTSZ6m-2pA,https://bit.ly/3dpbzuG,086,Video,Piano Sheet
Too Good At Goodbyes,Sam Smith,https://youtu.be/kEFgTydIAow,https://bit.ly/38T8Atp,018,Video,Piano Sheet
Dance Monkey,Tones and I,https://youtu.be/9asT4-pxTr0,http://bit.ly/2vXnAHV,083,Video,Piano Sheet
小鸡哔哔,ElPollitoPio,https://youtu.be/XooAFRg7occ,https://bit.ly/2Cg3xHy,065,Video,Piano Sheet
刚好遇见你 Just Met You,李玉剛,https://youtu.be/OMhvtnedcEM,https://bit.ly/2Zmzh6U,002,Video,Piano Sheet
一万种情绪 Ten thousand emotions,李梓嘉 LeeZiiJia,https://youtu.be/aj-n-qAF17c,https://bit.ly/2WhfPJL,131,Video,Piano Sheet
白月光与朱砂痣,大籽,https://youtu.be/CR10xxLIKjY,http://bit.ly/3qs16Fh,108,Video,Piano Sheet
What is Love,TWICE,https://youtu.be/kwFyXO4WXHc,https://bit.ly/2OjURSU,048,Video,Piano Sheet
可不可以 ,张紫豪,https://youtu.be/FEM7jFxYQho,http://bit.ly/3rLFaGB,106,Video,Piano Sheet
永不失联的爱,周兴哲 Eric,https://youtu.be/OQTMMuXpcO8,https://bit.ly/33qW6ry,104,Video,Piano Sheet
怎么了,周兴哲 Eric,https://youtu.be/Hivz9gPXg20,http://bit.ly/2DkWDxZ,075,Video,Piano Sheet
Pick Me,Produce101,https://youtu.be/yRn4u8CVsmQ,http://bit.ly/2O86bR4,055,Video,Piano Sheet
Something Just Like This,Coldplay,https://youtu.be/yJtimIUid7M,https://bit.ly/2DBbRlF,005,Video,Piano Sheet
光年之外,邓紫棋 G.E.M.,https://youtu.be/9Za_AyXQYlY,https://bit.ly/2Zm1hHO,023,Video,Piano Sheet
追光者 Light Chaser,夏至未至,https://youtu.be/cLluJ1RrZ-E,https://bit.ly/2AQ5eLc,025,Video,Piano Sheet
句號,邓紫棋 G.E.M.,https://youtu.be/Qq3kh5xxVU8,https://bit.ly/3bxDyr5,084,Video,Piano Sheet
元气满满MooMoo哒,Astro MY,https://youtu.be/ZPYhWz8g4xc,https://bit.ly/3o7adtC,109,Video,Piano Sheet
那女孩对我说,黄义达,https://youtu.be/nRjBp1rz9IY,https://bit.ly/30rGTnX,093,Video,Piano Sheet
Easy on me,Adele,https://youtu.be/R5ZiFC6KRvc,https://bit.ly/3EoLuKl,143 04 Dec,Video,Piano Sheet
你说你爱我,蔡佩轩,https://youtu.be/fUu8w99pygU,https://bit.ly/32abvNd,021,Video,Piano Sheet
Mojito,周杰伦 Jay Chou,https://youtu.be/wcceHh2PVDI,https://bit.ly/3eog4qx,090,Video,Piano Sheet
夏天的风 ,温岚,https://youtu.be/wA356x7uzf0,https://bit.ly/2GMS6t9,098,Video,Piano Sheet
解药,来一碗老于,https://youtu.be/1gML9V9umoU,https://bit.ly/3CKFryZ,140,Video,Piano Sheet
阿拉斯加海湾 Gulf of Alaska,Firdhaus,https://youtu.be/tX_OKW1iSgU,https://bit.ly/3ovs4eD,107,Video,Piano Sheet
目及皆是你,小蓝背心,https://youtu.be/atb5iAwVAY8,https://bit.ly/2YB1CZi,138,Video,Piano Sheet
Baby Shark,Pinkfong,https://youtu.be/6YQQvmJWvaE,https://bit.ly/306nbxT,020,Video,Piano Sheet
離人愁,李袁杰,https://youtu.be/IHvo5MxnL90,http://bit.ly/2xsqsKi,060,Video,Piano Sheet
美女与野兽,Beauty and the Beast,https://youtu.be/KsFiLiD5rkM,https://bit.ly/3022CCr,014,Video,Piano Sheet
童话 Fairy Tale,光良 Michael,https://youtu.be/PzPEvUgLC5s,https://bit.ly/3fmjzxP,024,Video,Piano Sheet
好想你,四葉草 Joyce,https://youtu.be/Z_c9lkd4bPA,https://bit.ly/3foO0DJ,027,Video,Piano Sheet
东西,林俊呈,https://youtu.be/wjF5IuCeEIY,http://bit.ly/2Tamvma,072,Video,Piano Sheet
不爱我就拉倒,周杰伦 Jay Chou,https://youtu.be/H6EZS6WAMLw,https://bit.ly/2DzDbkg,052,Video,Piano Sheet
然后呢,任然,https://youtu.be/-cjcdkk9Owk,http://bit.ly/2Zv14jg,076,Video,Piano Sheet
等你下课,周杰伦 Jay Chou,https://youtu.be/UwQMZ8FwccQ,https://bit.ly/2Cou5q3,033,Video,Piano Sheet
座位,三十而已,https://youtu.be/XqtI88Z6kiI,https://bit.ly/32eOo2r,095,Video,Piano Sheet
我们不一样,大壮,https://youtu.be/JsOdpDjqHGg,https://bit.ly/2ZhTTgq,049,Video,Piano Sheet
半生雪,黃霄雲,https://youtu.be/l3tPaP7fF-8,https://bit.ly/2MA95Cc,110,Video,Piano Sheet
带你去旅行,校长,https://youtu.be/F9PjC0hg-XE,https://bit.ly/2ZjaJvi,035,Video,Piano Sheet
茫,李润祺,https://youtu.be/AVhbIps0wtA,https://bit.ly/3jgd0Sl,123,Video,Piano Sheet
后来遇见他,胡66,https://youtu.be/QhwImJYZaeM,https://bit.ly/3i4XXqS,094,Video,Piano Sheet
醒不来的梦,回小仙,https://youtu.be/zGL52lbPTAM,https://bit.ly/3dnJHKm,116,Video,Piano Sheet
大鱼 Big Fish & Belgonia,周深 Charlie,https://youtu.be/VjOH_81k6fs,https://bit.ly/3oh2CdN,118,Video,Piano Sheet
A Million Dreams,The Greatest Showman,https://youtu.be/witt451nz-s,https://bit.ly/3esWHMc,043,Video,Piano Sheet
你的酒馆对我打了烊,陳雪凝,https://youtu.be/uDU4H5SJilg,https://bit.ly/3lGfebr,105,Video,Piano Sheet
告白气球 Love Confession,周杰伦 Jay Chou,https://youtu.be/6A3UJI5cCko,https://bit.ly/2OhEM0b,007,Video,Piano Sheet
好想爱这个世界啊 I really want to love this world,华晨宇,https://youtu.be/jE6BlXvT_Cg,https://bit.ly/3iYXhqV,122,Video,Piano Sheet
你笑起来真好看,李昕融,https://youtu.be/vZpaoMKd_9w,https://bit.ly/3zqkZ4x,132 ,Video,Piano Sheet
她说 She said,林俊傑 JJ Lin,https://youtu.be/xSe_BBqiTPQ,https://bit.ly/2OjZMmR,001,Video,Piano Sheet
银河与星斗The Galaxy and Star,yihuik 苡慧,https://youtu.be/u86d9mtffcI,https://bit.ly/3m3kvNX,130,Video,Piano Sheet
离开你以后 Leaving You,周兴哲Eric Chou,https://youtu.be/_7gOKYi_9Qo,https://bit.ly/3jKlW2R,124,Video,Piano Sheet
On My Way,Alan Walker,https://youtu.be/-OAJFBZmPzM,http://bit.ly/2MPMil7,078,Video,Piano Sheet
四季予你,程响,https://youtu.be/aJYvsaL-p40,https://bit.ly/31KfDli,114,Video,Piano Sheet
新年歌曲,CNYSong,https://youtu.be/uII82cdqjFg,https://bit.ly/328pJOs,036,Video,Piano Sheet
绿色,陈雪凝,https://youtu.be/NmpYLqO1GPg,http://bit.ly/2KLPGsS,079,Video,Piano Sheet
涼涼,三生三世十里桃花,https://youtu.be/l7-6bKCJ2uw,https://bit.ly/2WehFrP,006,Video,Piano Sheet
说散就散,再见前任,https://youtu.be/Xjm5dlZEUf8,https://bit.ly/38LyHTd,030,Video,Piano Sheet
聴爱,豆福传,https://youtu.be/z79jJcBlANY,https://bit.ly/2Ok9ypf,010,Video,Piano Sheet
See You Again,Furious 7,https://youtu.be/pWj5OWGDqk4,https://bit.ly/3hp7nR3,015,Video,Piano Sheet
River Flow in You,Yiruma,https://youtu.be/avy4SJMo3J8,https://bit.ly/2ZiRVfE,034,Video,Piano Sheet
Faded,Alan Walker,https://youtu.be/JvIFgjpiMW4,https://bit.ly/3fnohvu,009,Video,Piano Sheet
Always with me,Spirited Away,https://youtu.be/Rzo6LFfpuLg,http://bit.ly/2C99wxc,058,Video,Piano Sheet
十七,S.H.E.,https://youtu.be/DTE06iECB2E,http://bit.ly/2oSYgLP,059,Video,Piano Sheet
Live It Up,FIFA2018,https://youtu.be/7Fr5hafiQ1o,http://bit.ly/2MpmRT7,054,Video,Piano Sheet
熱愛105度的你,阿肆,https://youtu.be/nt0WaYPRDLg,https://bit.ly/34a7uIk,119,Video,Piano Sheet
小幸运,我的少女時代,https://youtu.be/OXoOZpRfmIQ,https://bit.ly/3gTX4ka,003,Video,Piano Sheet
踏山河,是七叔呢,https://youtu.be/qoYl26H21ds,https://bit.ly/2Q1cc7F,117,Video,Piano Sheet
失眠飛行,抖音歌曲,https://youtu.be/wh_6G9_eQLI,https://bit.ly/2UJivfJ,085,Video,Piano Sheet
我们俩,郭顶,https://youtu.be/iDxgGo8H_8k,https://bit.ly/3C4UTVx,134 ,Video,Piano Sheet
体面,前任3,https://youtu.be/hHf9YJbWvcM,https://bit.ly/2WaKkhb,040,Video,Piano Sheet
漂向北方,黃明志,https://youtu.be/rkgPSwE9sx0,https://bit.ly/3fnRnef,008,Video,Piano Sheet
刻在我心底的名字,卢广仲,https://youtu.be/DfBDCSakX6w,https://bit.ly/3qbLZjW,112,Video,Piano Sheet
玻璃心,黃明志 ,https://youtu.be/KK7qlqk8KbU,https://bit.ly/3cwlrV3,141,Video,Piano Sheet
Ei Ei,Idol Producer,https://youtu.be/Y3KE4nv70ro,https://bit.ly/2ARsnNt,044,Video,Piano Sheet
错位时空,艾辰,https://youtu.be/r1m5NvyJzSI,https://bit.ly/3uWXrT6,113,Video,Piano Sheet
與我無關,阿冗,https://youtu.be/LEkpMafH3hU,https://bit.ly/3joyVmT,100,Video,Piano Sheet
Firewalking,Idol Producer,https://youtu.be/AsnAUqhEEo8,https://bit.ly/3iQhLQ9,051,Video,Piano Sheet
A Song of Ice and Fire,GameofThrones,https://youtu.be/ti-Rt9eS7Rs,http://bit.ly/2X768sG,077,Video,Piano Sheet
不遺憾 No Regrets,李榮浩Ronghao Li,https://youtu.be/FRd11NM0dxo,https://bit.ly/3xBICpV,125,Video,Piano Sheet
You are the reason,Calum Scott,https://youtu.be/296Y9ZJY_zg,http://bit.ly/2PWxLB2,063,Video,Piano Sheet
我多喜欢你，你会知道,致我们单纯的小美好,https://youtu.be/W9BloFLiwY0,https://bit.ly/38PTlBB,029,Video,Piano Sheet
世界这么大还是遇见你,程响,https://youtu.be/_MDiKEL_Bvs,https://bit.ly/3pwll4W,102,Video,Piano Sheet
将故事写成我们,林俊杰 JJ Lin,https://youtu.be/pSCIci7IjmE,https://bit.ly/38ddBg6,091,Video,Piano Sheet
平行世界 Parallel,邓紫棋 G.E.M.,https://youtu.be/-0OGH2pcjys,https://bit.ly/2No5vv2,111,Video,Piano Sheet
不如,秦海清 ,https://youtu.be/tr4V5gR5WhE,https://bit.ly/3rKEy4A,128,Video,Piano Sheet
雪花落下,冰糖燉雪梨,https://youtu.be/ePgaYU0JoIY,https://bit.ly/330LUWs,103,Video,Piano Sheet
当你老了,莫文蔚,https://youtu.be/OfRDA7SshdU,https://bit.ly/2Zj2EGU,046,Video,Piano Sheet
你好不好,周兴哲 Eric,https://youtu.be/39_COQRs0Tk,https://bit.ly/2WcYcaW,012,Video,Piano Sheet
烟火里的尘埃,华晨宇,https://youtu.be/OMCCmOUDd94,https://bit.ly/2OjmLyE,031,Video,Piano Sheet